City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Constitución,18,CL,1649432370,67,-35.3333,-72.4167,65.57,8.9
Qaanaaq,11,GL,1649432370,73,77.484,-69.3632,-1.41,6.49
Talcahuano,75,CL,1649432370,82,-36.7167,-73.1167,60.48,6.91
Okhotsk,100,RU,1649432370,89,59.3833,143.3,19.29,6.17
Kalmar,40,SE,1649432371,84,56.6616,16.3616,43.14,16.11
Mataura,100,NZ,1649432371,83,-46.1927,168.8643,48.88,5.1
Hermanus,40,ZA,1649432371,63,-34.4187,19.2345,64.8,22.73
Stornoway,75,GB,1649432292,59,58.2093,-6.3865,44.92,20.71
Amapá,100,BR,1649432371,98,1.0,-52.0,74.64,2.82
Laela,84,TZ,1649432371,89,-8.5667,32.05,63.61,1.05
Bluff,96,NZ,1649432371,66,-46.6,168.3333,54.86,17.45
Ushuaia,20,AR,1649432371,81,-54.8,-68.3,40.62,0.0
Rørvik,75,NO,1649432372,55,64.8621,11.2373,35.71,19.57
Yumen,0,CN,1649432301,9,40.2833,97.2,62.44,11.74
Bredasdorp,47,ZA,1649432372,63,-34.5322,20.0403,61.41,16.91
Yellowknife,100,CA,1649432372,72,62.456,-114.3525,37.42,8.05
Lorengau,100,PG,1649432372,90,-2.0226,147.2712,78.67,9.66
Rikitea,0,PF,1649432372,73,-23.1203,-134.9692,79.27,17.4
Airai,93,TL,1649432372,80,-8.9266,125.4092,58.95,2.35
Krasnosel'kup,69,RU,1649432372,98,65.7,82.4667,-0.6,9.17
Cape Town,0,ZA,1649432075,47,-33.9258,18.4232,72.1,18.41
Atuona,51,PF,1649432373,77,-9.8,-139.0333,79.23,18.84
Czersk,71,PL,1649432373,46,53.7959,17.9765,50.47,13.29
Jamestown,75,US,1649432373,64,42.097,-79.2353,44.02,11.99
Broome,0,US,1649432373,61,42.2506,-75.833,52.9,8.05
Punta Arenas,75,CL,1649432373,87,-53.15,-70.9167,42.82,6.91
Fort Nelson,100,CA,1649432373,93,58.8053,-122.7002,35.19,9.22
Trois-Rivières,100,CA,1649432373,97,46.3501,-72.5491,36.09,14.97
Amboasary,95,MG,1649432374,83,-25.0333,46.3833,76.66,6.02
Aba,98,NG,1649432374,65,5.1066,7.3667,86.54,9.46
Dikson,100,RU,1649432374,94,73.5069,80.5464,9.16,11.83
Salalah,0,OM,1649432260,78,17.0151,54.0924,82.49,6.91
Srīvardhan,0,IN,1649432374,84,18.0333,73.0167,81.12,5.48
Cherskiy,5,RU,1649432374,98,68.75,161.3,-28.41,3.8
Husavik,100,IS,1649432374,74,66.0449,-17.3389,28.45,6.11
Tuktoyaktuk,40,CA,1649432375,78,69.4541,-133.0374,6.8,8.05
George Town,20,MY,1649432375,82,5.4112,100.3354,82.33,3.44
Hilo,100,US,1649432298,93,19.7297,-155.09,68.25,8.05
Khatanga,33,RU,1649432375,97,71.9667,102.5,-0.81,6.31
Sinnamary,100,GF,1649432375,88,5.3833,-52.95,77.47,11.36
Nome,100,US,1649432375,85,64.5011,-165.4064,1.47,4.61
Albany,100,US,1649432375,79,42.6001,-73.9662,50.41,1.01
Dubrovnik,0,HR,1649432376,55,42.6481,18.0922,62.24,20.71
Karatuzskoye,100,RU,1649432376,84,53.6072,92.8667,40.17,11.27
Tasiilaq,100,GL,1649432354,92,65.6145,-37.6368,23.16,10.33
Vaini,75,TO,1649432376,100,-21.2,-175.2,73.56,0.0
Port Alfred,100,ZA,1649432376,91,-33.5906,26.891,58.17,1.99
Esperance,80,AU,1649432376,86,-33.8667,121.9,71.44,12.08
Lavrentiya,100,RU,1649432376,92,65.5833,-171.0,-11.7,2.64
Tura,0,IN,1649432377,71,25.5198,90.2201,74.37,6.24
Emba,100,KZ,1649432377,60,48.8264,58.1442,52.2,13.65
Araouane,95,ML,1649432377,6,18.9048,-3.5265,104.09,14.92
Puerto Ayora,30,EC,1649432377,77,-0.7393,-90.3518,82.36,9.6
Alekseyevsk,100,RU,1649432377,99,57.8406,108.3492,23.31,2.39
Aklavik,20,CA,1649432377,85,68.2191,-135.0107,3.2,0.0
Arraial do Cabo,20,BR,1649432377,69,-22.9661,-42.0278,84.16,12.66
Codrington,7,AU,1649432377,68,-38.2667,141.9667,61.23,6.91
Zhigansk,44,RU,1649432378,94,66.7697,123.3711,4.08,10.02
Marawi,100,PH,1649432378,97,7.9986,124.2928,69.51,1.63
Petropavlovsk-Kamchatskiy,100,RU,1649432167,100,53.0452,158.6483,28.99,4.47
Banamba,15,ML,1649432378,6,13.55,-7.45,106.59,14.9
Provideniya,99,RU,1649432101,99,64.3833,-173.3,-3.41,4.25
Souillac,75,MU,1649432378,94,-20.5167,57.5167,75.58,11.5
Nikolskoye,100,RU,1649432379,94,59.7035,30.7861,46.71,7.9
Ormara,43,PK,1649432379,62,25.2088,64.6357,82.81,19.57
Gaza,100,PS,1649432183,78,31.5,34.4667,65.88,8.9
Lagoa,93,PT,1649432379,88,39.05,-27.9833,62.33,30.85
Kapaa,0,US,1649432379,84,22.0752,-159.319,72.48,14.97
